ID,Location,x,y
1156,Sarina Beach,149.3095,-21.38995
1157,Sarina,149.216,-21.4206
1158,Armstrong Beach,149.2873,-21.45078
1159,Nebo,148.6917,-21.69028
1160,Moranbah,148.0456,-22.0039
1161,Winton,143.0414,-22.38676
1162,Dysart,148.3481,-22.58982
1163,Middlemount,148.7039,-22.81426
1164,Clermont,147.6374,-22.82681
1165,Byfield,150.6508,-22.85074
1166,Boulia,139.9082,-22.91287
1167,Aramac,145.2439,-22.9698
1168,Tieri,148.3497,-23.03219
1169,Capella,148.0248,-23.08513
1170,Yeppoon,150.7431,-23.12635
1171,The Caves,150.4661,-23.17545
1172,Mulambin,150.7857,-23.19155
1173,Kinka Beach,150.7876,-23.2243
1174,Glendale,150.4751,-23.24572
1175,Emu Park,150.8238,-23.25994
1176,Keppel Sands,150.7919,-23.3275
1177,Rockhampton,150.4974,-23.38918
1178,Rubyvale,147.6974,-23.42054
1179,Gracemere,150.4558,-23.43865
1180,Longreach,144.2475,-23.44447
1181,Sapphire,147.7193,-23.46006
1182,Emerald,148.1598,-23.52349
1183,Barcaldine,145.2854,-23.55288
1184,Blackwater,148.8834,-23.5779
1185,Bouldercombe,150.4668,-23.57818
1186,Bluff,149.0695,-23.57993
1187,Mount Morgan,150.3881,-23.64464
1188,Dingo,149.3315,-23.64629
1189,Alpha,146.6387,-23.65028
1190,Duaringa,149.6687,-23.71846
1191,Willows Gemfields,147.5411,-23.73932
1192,Mount Larcom,150.9799,-23.8124
1193,Gladstone,151.2578,-23.84753
1194,Tannum Sands,151.3685,-23.94867
1195,Wurdong Heights,151.3025,-23.98485
1196,Calliope,151.213,-23.99655
1197,Benaraby,151.3256,-24.00187
1198,Springsure,148.0891,-24.11595
1199,Woorabinda,149.4575,-24.1306
1200,Seventeen Seventy,151.8855,-24.16343
1201,Baralaba,149.8114,-24.17958
1202,Agnes Water,151.9008,-24.21017
1203,Taylors Creek,149.1545,-24.25325
1204,Miriam Vale,151.5583,-24.328
1205,Biloela,150.5098,-24.39602
1206,Blackall,145.4645,-24.42336
1207,Thangool,150.5751,-24.48738
1208,Moura,149.9719,-24.57498
1209,Moore Park,152.2757,-24.71776
1210,Burnett Heads,152.4149,-24.76892
1211,Bargara,152.4607,-24.81453
1212,Gooburrum,152.345,-24.81685
1213,Sloping Hummock,152.4252,-24.8436
1214,Oakwood,152.298,-24.85082
1215,Monto,151.1207,-24.86547
1216,Bundaberg,152.3444,-24.87052
1217,Innes Park,152.4823,-24.88137
1218,Tambo,146.2549,-24.88339
1219,Sharon,152.2587,-24.88377
1220,Elliott Heads,152.4888,-24.9178
1221,Theodore,150.075,-24.94678
1222,South Bingera,152.2194,-24.96842
1223,Gin Gin,151.9557,-24.99157
1224,Woodgate,152.5506,-25.0964
1225,Cordalba,152.2111,-25.15681
1226,Mount Perry,151.6442,-25.18036
1227,Burrum Heads,152.609,-25.18701
1228,Burrum Heads - East,152.6334,-25.21101
1229,Apple Tree Creek,152.2338,-25.22391
1230,Burrum Heads - South,152.5934,-25.23535
1231,Childers,152.2765,-25.23536
1232,Toogoom,152.6898,-25.25614
1233,Pacific Haven,152.5565,-25.26683
1234,Hervey Bay,152.8722,-25.28535
1235,Howard,152.5602,-25.31648
1236,Torbanlea,152.596,-25.34752
1237,Walligan,152.771,-25.35161
1238,Sunshine Acres,152.7889,-25.35801
1239,Booral,152.9037,-25.36202
1240,Eidsvold,151.1221,-25.37064
1241,River Heads,152.9102,-25.39864
1242,Aldershot,152.6613,-25.46311
1243,Biggenden,152.0449,-25.50952
1244,Oakhurst,152.6206,-25.51008
1245,Maryborough,152.6935,-25.52726
1246,Mundubbera,151.2992,-25.59115
1247,Maaroom,152.8722,-25.61156
1248,Gayndah,151.6074,-25.62451
1249,Taroom,149.7974,-25.6412
1250,Boonooroo - Tuan,152.8771,-25.6788
1251,Poona,152.9052,-25.71673
1252,Tiaro,152.584,-25.725
1253,Augathella,146.5842,-25.79596
1254,Injune,148.5651,-25.84311
1255,Bauple Forest,152.636,-25.85212
1256,Rainbow Beach,153.0922,-25.90782
1257,Tin Can Bay,153.0031,-25.91357
1258,Glenwood,152.6324,-25.94735
1259,Cooloola Village,152.982,-25.97598
1260,Curra,152.5881,-26.07081
1261,Kilkivan,152.2399,-26.08621
1262,Wandoan,149.9628,-26.12088
1263,Proston,151.603,-26.16377
1264,Goomeri,152.0647,-26.18048
1265,Gympie,152.6706,-26.18893
1266,The Palms,152.5889,-26.19336
1267,Nahrunda,152.6127,-26.20237
1268,Gowrie,146.3207,-26.23114
1269,Pie Creek,152.6277,-26.23769
1270,Murgon,151.9402,-26.24246
1271,Boreen Point,152.9952,-26.28443
1272,Cherbourg,151.9565,-26.28971
1273,Wondai,151.8736,-26.32045
1274,Cooran,152.8222,-26.33805
1275,Amamoor,152.6748,-26.34607
1276,Cooroibah,152.9939,-26.35897
1277,Pomona,152.8533,-26.36256
1278,Forest Acres,152.9413,-26.36638
1279,Black Mountain,152.8819,-26.40467
1280,Charleville,146.2416,-26.40697
1281,Sunshine Beach,153.1058,-26.41021
1282,Cooroy,152.9089,-26.41875
1283,Doonan - Tinbeerwah,153.0119,-26.43781
1284,Weyba Downs,153.0474,-26.45561
1285,Imbil,152.677,-26.46119
1286,Eumundi,152.9513,-26.47643
1287,Mitchell,147.976,-26.48827
1288,Kingaroy,151.8443,-26.53645
1289,Yandina,152.9565,-26.56212
1290,Roma,148.7879,-26.57094
1291,Wallumbilla,149.187,-26.58483
1292,Kenilworth,152.727,-26.59522
1293,Kureelpa,152.8837,-26.60834
1294,Yuleba,149.381,-26.61304
1295,Quilpie,144.2683,-26.61502
1296,Mapleton,152.8651,-26.62074
1297,Nambour,152.9592,-26.62753
1298,Kiels Mountain,153.001,-26.6527
1299,Flaxton,152.8647,-26.65557
1300,Miles,150.1857,-26.65858
1301,Woombye,152.9666,-26.66148
1302,Nanango,151.9992,-26.6713
1303,Palmwoods,152.9568,-26.69113
1304,Witta,152.8107,-26.70454
1305,Chinchilla,150.628,-26.74202
1306,Maleny,152.848,-26.75878
1307,Mooloolah,152.9616,-26.76553
1308,Glenview,153.0204,-26.76952
1309,Jandowae,151.1101,-26.78068
1310,Landsborough,152.9652,-26.80826
