"index","Most Disadvantaged","Disadvantaged","Middle SES","Advantaged","Most Advantaged","NA"
"1A","231","291","439","735","1,247","133"
"2A","727","751","868","839","697","160"
"3A","165","204","126","45","9","13"
"3B","191","131","73","27","2","18"
"3C","37","26","20","8","","1"
"4A","142","239","249","259","141","35"
"4B","175","100","64","52","6","16"
"4C","168","220","189","162","77","50"
"5B","183","86","43","10","3","7"
"5C","197","169","146","80","35","42"
