"index","Major Cities","Outer Regional","Inner Regional","Remote","Very Remote"
"1A","2,859","341","","",""
"2A","3,639","181","326","4",""
"3A","98","113","340","16","1"
"3B","","275","128","22","2"
"3C","","77","","9",""
"4A","557","","526","",""
"4B","","246","180","2","1"
"4C","","436","340","67","38"
"5B","","8","326","",""
"5C","","147","302","85","126"
