RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 292 - 292 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:12:52,1990-01-01 02:00:00,1990-01-01 06:12:52,239.80000602,385.92147273,252.65383738,,,,,292,1,1184,Blackwater,148.8834,-23.5779,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 230 - 230 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 21:12:23,1990-01-01 02:00:00,1990-01-01 11:12:23,545.04917034,877.17336634,553.4570193,,,,,230,1,1122,Charters Towers,146.2598,-20.07699,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 172 - 172 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:28:06,1990-01-01 02:00:00,1990-01-01 08:28:06,351.08631452,565.0197838,388.27991918,,,,,172,1,1286,Eumundi,152.9513,-26.47643,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 252 - 252 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 20:30:20,1990-01-01 02:00:00,1990-01-01 10:30:20.000001,495.08318213,796.76074219,511.30396238,,,,,252,1,1144,Erakala,149.1071,-21.12326,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 177 - 177 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 12:29:41,1990-01-01 02:00:00,1990-01-01 02:29:41,25.97021597,41.79509484,29.72589773,,,,,177,1,1291,Wallumbilla,149.187,-26.58483,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 423 - 423 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 00:00:10,1990-01-01 02:00:00,1990-01-01 14:00:10,707.87546131,1139.21740485,721.53869856,,,,,423,1,1093,Allingham,146.2953,-18.70771,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 206 - 206 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:05:07,1990-01-01 02:00:00,1990-01-01 08:05:07.000001,334.71714068,538.6760994,365.29637901,,,,,206,1,1320,Beerburrum,152.955,-26.96138,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 179 - 179 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:40:33,1990-01-01 02:00:00,1990-01-01 08:40:33,365.96641495,588.96703203,400.05154078,,,,,179,1,1293,Kureelpa,152.8837,-26.60834,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 343 - 343 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 16:53:35,1990-01-01 02:00:00,1990-01-02 06:53:35,1481.99975367,2385.05218167,1731.03284257,,,,,343,1,1013,Horn Island,142.2837,-10.60644,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 297 - 297 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:03:51,1990-01-01 02:00:00,1990-01-01 08:03:51,353.93906942,569.61085695,363.55747996,,,,,297,1,1189,Alpha,146.6387,-23.65028,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
