RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Title,To_Address
Route 196 - 196 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:16:08,1990-01-01 02:00:00,1990-01-01 11:16:08,533.11061765,857.96008977,557.30422966,,,,,196,1,1310,Landsborough,152.9652,-26.80826,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 127 - 127 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:33:27,1990-01-01 02:00:00,1990-01-01 09:33:27,434.08058827,698.58638743,454.33790859,,,,,127,1,1241,River Heads,152.9102,-25.39864,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 176 - 176 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 20:10:10,1990-01-01 02:00:00,1990-01-01 10:10:10.000001,476.23348222,766.42503006,491.32213158,,,,,176,1,1290,Roma,148.7879,-26.57094,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 129 - 129 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 18:46:43,1990-01-01 02:00:00,1990-01-01 08:46:43,391.90978293,630.71891914,407.38734767,,,,,129,1,1243,Biggenden,152.0449,-25.50952,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 373 - 373 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 20:55:40,1990-01-01 02:00:00,1990-01-01 10:55:40,497.35612411,800.41869503,536.24295552,,,,,373,1,1043,Mareeba - South,145.4211,-17.05062,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 348 - 348 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-02 08:02:32,1990-01-01 02:00:00,1990-01-01 22:02:32,1080.86820206,1739.49223477,1203.93159303,,,,,348,1,1018,Injinoo,142.3275,-10.90209,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 320 - 320 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 18:20:29,1990-01-01 02:00:00,1990-01-01 08:20:29,362.83327379,583.92472003,380.98314873,,,,,320,1,1212,Gooburrum,152.345,-24.81685,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 272 - 272 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 14:52:12,1990-01-01 02:00:00,1990-01-01 04:52:12,163.15521287,262.57338805,172.47601411,,,,,272,1,1164,Clermont,147.6374,-22.82681,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 210 - 210 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 21:35:58.000001,1990-01-01 02:00:00,1990-01-01 11:35:58,555.21151641,893.52810972,576.97644849,,,,,210,1,1324,Toorbul,153.0991,-27.03348,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 186 - 186 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:52:04,1990-01-01 02:00:00,1990-01-01 09:52:04,452.72627221,728.59376701,472.06443328,,,,,186,1,1300,Miles,150.1857,-26.65858,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 153 - 153 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 20:19:29,1990-01-01 02:00:00,1990-01-01 10:19:29,478.09277184,769.41727264,500.50600405,,,,,153,1,1267,Nahrunda,152.6127,-26.20237,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 130 - 130 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:24:46,1990-01-01 02:00:00,1990-01-01 09:24:46,425.09565917,684.12651676,445.60883887,,,,,130,1,1244,Oakhurst,152.6206,-25.51008,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 131 - 131 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 19:20:55,1990-01-01 02:00:00,1990-01-01 09:20:55,422.77626145,680.39380049,441.80264508,,,,,131,1,1245,Maryborough,152.6935,-25.52726,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 422 - 422 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-01 17:48:22.000001,1990-01-01 02:00:00,1990-01-01 07:48:22,331.04210267,532.7616872,348.78465844,,,,,422,1,1092,Ingham,146.1581,-18.64706,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
Route 353 - 353 - Sarina Hospital ,1990-01-01 12:00:00,1990-01-02 05:51:24,1990-01-01 02:00:00,1990-01-01 19:51:24.000001,979.97307934,1577.11694963,1074.33681359,,,,,353,1,1023,Aurukun,141.7292,-13.35609,Sarina Hospital ,"Hospital Street, Sarina, QLD, 4737, AUS"
